author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
Берман М. и Грилихес С.,Бой идет,NA,1931-01-01,20300,NA,TRUE,NA,NA,NA,м,Берман,бой идет
Тюляпин К.,Счет оплачен,Повесть,1931-01-01,5000,NA,NA,TRUE,NA,М.-Л.,м,Тюляпин,счет оплачен
Барановский А.,Прэ нево дром (По новому пути),Записки,1932-01-01,10000,NA,TRUE,NA,NA,Смоленск,м,Барановский,прэ нево дром по новому пути
Баутин А.,Пылающая Пресня,Повесть,1932-01-01,20000,NA,TRUE,NA,NA,NA,м,Баутин,пылающая пресня
Бергольц О. Ф.,Горная жвачка,NA,1932-01-01,10000,NA,TRUE,NA,NA,М.-Л.,ж,Бергольц,горная жвачка
Берингов П.,"""Кукушка"" и электровоз",NA,1932-01-01,20000,NA,TRUE,NA,NA,М.-Л.,м,Берингов,кукушка и электровоз
Бурче Е.Ф.,Военные обманщики,NA,1932-01-01,25000,NA,TRUE,NA,NA,М.,м,Бурче,военные обманщики
Гайдар А.П.,Дальние страны,Повесть,1932-01-01,15000,NA,TRUE,NA,NA,М.,м,Гайдар,дальние страны
Гайдар А.П.,Мои товарищи,Повесть,1932-01-01,25300,NA,TRUE,NA,NA,М.,м,Гайдар,мои товарищи
Гайдар А.П.,Школа,Повесть,1932-01-01,20300,NA,NA,TRUE,NA,М.,м,Гайдар,школа
Дитрих Г.С.,Казачата,Повесть,1932-01-01,30000,NA,TRUE,NA,NA,М.-Л.,м,Дитрих,казачата
Иванов В.В.,Бронепоезд,Повесть,1932-01-01,10000,NA,TRUE,NA,NA,М.,м,Иванов,бронепоезд
Карпов Л.,Фабрика на колесах,Повесть в очерках,1932-01-01,10000,NA,NA,TRUE,NA,М.-Л.,м,Карпов,фабрика на колесах
Кожевников А.В.,Таинсык,Повесть,1932-01-01,20300,NA,NA,TRUE,NA,М.,м,Кожевников,таинсык
Ляшко Н.Н.,Доменная печь,Повесть,1932-01-01,25000,NA,NA,TRUE,NA,М.-Л.,м,Ляшко,доменная печь
Марк Ю.,Хабинский клад,Повесть,1932-01-01,10500,NA,NA,TRUE,NA,М.-Л.,м,Марк,хабинский клад
Пантелеев Л.И.,Часы,Повесть,1932-01-01,50000,NA,TRUE,NA,NA,М.-Л.,м,Пантелеев,часы
